leg_id,term,type,start,end,state,party,first,last,gender,terms,birthday
O000101,2,House,1793-12-02,1795-03-03,KY,Republican,Alexander,Orr,M,3,1761-11-06
O000101,3,House,1795-12-07,1797-03-03,KY,Republican,Alexander,Orr,M,3,1761-11-06
P000018,1,House,1789-03-04,1791-03-03,VA,Republican,John,Page,M,4,1743-04-17
P000018,2,House,1791-10-24,1793-03-03,VA,Republican,John,Page,M,4,1743-04-17
P000018,3,House,1793-12-02,1795-03-03,VA,Republican,John,Page,M,4,1743-04-17
P000018,4,House,1795-12-07,1797-03-03,VA,Republican,John,Page,M,4,1743-04-17
P000026,1,Senate,1795-12-07,1801-03-03,VT,Federalist,Elijah,Paine,M,1,1757-01-21
P000108,1,House,1793-12-02,1795-03-03,DE,Republican,John,Patten,M,2,1746-04-26
P000108,2,House,1795-12-07,1797-03-03,DE,Republican,John,Patten,M,2,1746-04-26
P000514,1,House,1793-12-02,1795-03-03,VA,Republican,Francis,Preston,M,2,1765-08-02
P000514,2,House,1795-12-07,1797-03-03,VA,Republican,Francis,Preston,M,2,1765-08-02
R000092,1,Senate,1795-12-07,1801-03-03,SC,Federalist,Jacob,Read,M,1,
R000215,1,House,1795-12-07,1797-03-03,PA,Republican,John,Richards,M,1,1753-04-18
R000548,1,House,1793-12-02,1795-03-03,VA,Republican,Robert,Rutherford,M,2,1728-10-20
R000548,2,House,1795-12-07,1797-03-03,VA,Republican,Robert,Rutherford,M,2,1728-10-20
S000339,1,House,1793-12-02,1795-03-03,NH,Republican,John,Sherburne,M,2,
S000339,2,House,1795-12-07,1797-03-03,NH,Republican,John,Sherburne,M,2,
S000555,1,House,1795-12-07,1797-03-03,NJ,Federalist,Isaac,Smith,M,1,
S000753,1,House,1793-12-02,1795-03-03,MD,Republican,Thomas,Sprigg,M,2,
S000753,2,House,1795-12-07,1797-03-03,MD,Republican,Thomas,Sprigg,M,2,
S001029,1,House,1795-12-07,1797-03-03,NC,Federalist,William,Strudwick,M,1,
S001119,1,House,1793-12-02,1795-03-03,CT,Federalist,Zephaniah,Swift,M,2,1759-02-27
S001119,2,House,1795-12-07,1797-03-03,CT,Federalist,Zephaniah,Swift,M,2,1759-02-27
T000050,1,House,1795-12-07,1797-03-03,NC,Republican,Absalom,Tatom,M,1,
T000389,1,House,1789-03-04,1791-03-03,CT,Federalist,Jonathan,Trumbull,M,4,1740-03-26
T000389,2,House,1791-10-24,1793-03-03,CT,Federalist,Jonathan,Trumbull,M,4,1740-03-26
T000389,3,House,1793-12-02,1795-03-03,CT,Federalist,Jonathan,Trumbull,M,4,1740-03-26
T000389,4,Senate,1795-12-07,1797-03-03,CT,Federalist,Jonathan,Trumbull,M,4,1740-03-26
W000377,1,House,1793-12-02,1795-03-03,TN,,James,White,M,2,1749-06-16
W000377,2,House,1795-12-07,1797-03-03,TN,,James,White,M,2,1749-06-16
B000570,1,Senate,1796-01-01,1797-12-31,TN,Republican,William,Blount,M,1,1749-03-26
G000286,1,House,1789-03-04,1791-03-03,MA,Federalist,Benjamin,Goodhue,M,4,1748-09-20
G000286,2,House,1791-10-24,1793-03-03,MA,Federalist,Benjamin,Goodhue,M,4,1748-09-20
G000286,3,House,1793-12-02,1795-03-03,MA,Federalist,Benjamin,Goodhue,M,4,1748-09-20
G000286,4,Senate,1796-01-01,1801-03-03,MA,Federalist,Benjamin,Goodhue,M,4,1748-09-20
H000841,1,Senate,1796-01-01,1803-03-03,MD,Federalist,John,Howard,M,1,1752-06-04
H000982,1,House,1793-12-02,1795-03-03,SC,,John,Hunter,M,2,
H000982,2,Senate,1796-01-01,1799-03-03,SC,Republican,John,Hunter,M,2,
L000120,1,House,1789-03-04,1791-03-03,NY,,John,Laurance,M,3,
L000120,2,House,1791-10-24,1793-03-03,NY,,John,Laurance,M,3,
L000120,3,Senate,1796-01-01,1801-03-03,NY,Federalist,John,Laurance,M,3,
T000052,1,Senate,1796-01-01,1799-03-03,GA,Republican,Josiah,Tattnall,M,1,
A000129,1,House,1797-05-15,1799-03-03,CT,Federalist,John,Allen,M,1,1763-06-12
B000396,1,House,1793-12-02,1795-03-03,SC,Republican,Lemuel,Benton,M,3,
B000396,2,House,1795-12-07,1797-03-03,SC,Republican,Lemuel,Benton,M,3,
B000396,3,House,1797-05-15,1799-03-03,SC,Republican,Lemuel,Benton,M,3,
B000735,1,House,1795-12-07,1797-03-03,MA,Federalist,Theophilus,Bradbury,M,2,1739-11-13
B000735,2,House,1797-05-15,1799-03-03,MA,Federalist,Theophilus,Bradbury,M,2,1739-11-13
B000875,1,House,1797-05-15,1799-03-03,NY,Federalist,David,Brooks,M,1,
B000991,1,House,1795-12-07,1797-03-03,NC,Republican,Nathan,Bryan,M,2,
B000991,2,House,1797-05-15,1799-03-03,NC,Republican,Nathan,Bryan,M,2,
B001053,1,House,1797-05-15,1799-03-03,MA,Federalist,Stephen,Bullock,M,1,1735-10-10
B001081,1,House,1795-12-07,1797-03-03,NC,Republican,Dempsey,Burges,M,2,
B001081,2,House,1797-05-15,1799-03-03,NC,Republican,Dempsey,Burges,M,2,
C000313,1,House,1797-05-15,1799-03-03,PA,Federalist,John,Chapman,M,1,1740-10-18
C000369,1,Senate,1797-05-15,1803-03-03,VT,Federalist,Nathaniel,Chipman,M,1,1752-11-15
C000563,1,House,1797-05-15,1799-03-03,NY,Federalist,James,Cochran,M,1,1769-02-11
C000600,1,House,1793-12-02,1795-03-03,CT,Federalist,Joshua,Coit,M,3,1758-10-07
C000600,2,House,1795-12-07,1797-03-03,CT,Federalist,Joshua,Coit,M,3,1758-10-07
C000600,3,House,1797-05-15,1799-03-03,CT,Federalist,Joshua,Coit,M,3,1758-10-07
D000073,1,House,1795-12-07,1797-03-03,CT,Federalist,James,Davenport,M,2,1758-10-12
D000073,2,House,1797-05-15,1799-03-03,CT,Federalist,James,Davenport,M,2,1758-10-12
E000089,1,House,1795-12-07,1797-03-03,PA,Federalist,George,Ege,M,2,1748-03-09
E000089,2,House,1797-05-15,1799-03-03,PA,Federalist,George,Ege,M,2,1748-03-09
F000313,1,Senate,1790-01-01,1797-03-03,RI,Federalist,Theodore,Foster,M,2,1752-04-29
F000313,2,Senate,1797-05-15,1803-03-03,RI,Republican,Theodore,Foster,M,2,1752-04-29
F000365,1,House,1795-12-07,1797-03-03,MA,Federalist,Nathaniel,Freeman,M,2,1766-05-01
F000365,2,House,1797-05-15,1799-03-03,MA,Republican,Nathaniel,Freeman,M,2,1766-05-01
H000266,1,House,1793-12-02,1795-03-03,VA,Anti-Administration,Carter,Harrison,M,3,
H000266,2,House,1795-12-07,1797-03-03,VA,Republican,Carter,Harrison,M,3,
H000266,3,House,1797-05-15,1799-03-03,VA,Republican,Carter,Harrison,M,3,
H000803,1,House,1797-05-15,1799-03-03,NY,Federalist,Hezekiah,Hosmer,M,1,1765-06-07
L000115,1,House,1793-12-02,1795-03-03,DE,Federalist,Henry,Latimer,M,3,1752-04-24
L000115,2,Senate,1795-12-07,1797-03-03,DE,Federalist,Henry,Latimer,M,3,1752-04-24
L000115,3,Senate,1797-05-15,1801-12-31,DE,Federalist,Henry,Latimer,M,3,1752-04-24
L000377,1,Senate,1797-05-15,1801-03-03,MD,Federalist,James,Lloyd,M,1,
L000389,1,House,1793-12-02,1795-03-03,NC,Republican,Matthew,Locke,M,3,
L000389,2,House,1795-12-07,1797-03-03,NC,Republican,Matthew,Locke,M,3,
L000389,3,House,1797-05-15,1799-03-03,NC,Republican,Matthew,Locke,M,3,
M000013,1,House,1797-05-15,1799-03-03,VA,Federalist,James,Machir,M,1,
M000226,1,Senate,1794-01-01,1797-03-03,VA,Republican,Stevens,Mason,M,2,1760-12-29
M000226,2,Senate,1797-05-15,1803-03-03,VA,Republican,Stevens,Mason,M,2,1760-12-29
M000256,1,House,1797-05-15,1799-03-03,MD,Federalist,William,Matthews,M,1,1755-04-26
M000336,1,House,1797-05-15,1799-03-03,PA,Republican,Blair,McClenachan,M,1,
M000423,1,House,1797-05-15,1799-03-03,NC,Republican,Joseph,McDowell,M,1,1756-02-15
M000946,1,House,1797-05-15,1799-03-03,VA,Federalist,Daniel,Morgan,M,1,
P000058,1,House,1797-05-15,1799-03-03,MA,Federalist,Isaac,Parker,M,1,1768-06-17
R000448,1,Senate,1794-01-01,1797-03-03,PA,Federalist,James,Ross,M,2,1762-07-12
R000448,2,Senate,1797-05-15,1803-03-03,PA,Federalist,James,Ross,M,2,1762-07-12
R000550,1,Senate,1791-10-24,1797-03-03,NJ,Federalist,John,Rutherfurd,M,2,1760-09-20
R000550,2,Senate,1797-05-15,1799-03-03,NJ,Federalist,John,Rutherfurd,M,2,1760-09-20
S000154,1,Senate,1789-03-04,1791-03-03,NY,Pro-Administration,Philip,Schuyler,M,2,1733-11-20
S000154,2,Senate,1797-05-15,1799-03-03,NY,Federalist,Philip,Schuyler,M,2,1733-11-20
S000448,1,House,1789-03-04,1791-03-03,NJ,Federalist,Thomas,Sinnickson,M,2,1744-12-21
S000448,2,House,1797-05-15,1799-03-03,NJ,Federalist,Thomas,Sinnickson,M,2,1744-12-21
S000460,1,House,1795-12-07,1797-03-03,PA,Federalist,Samuel,Sitgreaves,M,2,1764-03-16
S000460,2,House,1797-05-15,1799-03-03,PA,Federalist,Samuel,Sitgreaves,M,2,1764-03-16
S000563,1,House,1791-10-24,1793-03-03,NH,Federalist,Jeremiah,Smith,M,4,1759-11-29
